region,age_class,populationSize
CH,all,8606033
ZH,all,1539275
BE,all,1039474
LU,all,413120
UR,all,36703
SZ,all,160480
OW,all,37930
NW,all,43087
GL,all,40590
ZG,all,127642
FR,all,321783
SO,all,275247
BS,all,195844
BL,all,289468
SH,all,82348
AR,all,55445
AI,all,16128
SG,all,510734
GR,all,199021
AG,all,685845
TG,all,279547
TI,all,351491
VD,all,805098
VS,all,345525
NE,all,176496
GE,all,504128
JU,all,73584
FL,all,38747
AG,"[0,10)",71486
AG,"[10,20)",67323
AG,"[20,30)",81244
AG,"[30,40)",97368
AG,"[40,50)",94902
AG,"[50,60)",106964
AG,"[60,70)",79161
AG,"[70,80)",55576
AG,"[80,121)",31821
AI,"[0,10)",1763
AI,"[10,20)",1642
AI,"[20,30)",2104
AI,"[30,40)",2008
AI,"[40,50)",2002
AI,"[50,60)",2441
AI,"[60,70)",1884
AI,"[70,80)",1332
AI,"[80,121)",952
AR,"[0,10)",5944
AR,"[10,20)",5254
AR,"[20,30)",6318
AR,"[30,40)",7132
AR,"[40,50)",7075
AR,"[50,60)",8854
AR,"[60,70)",7030
AR,"[70,80)",4867
AR,"[80,121)",2971
BE,"[0,10)",101287
BE,"[10,20)",96454
BE,"[20,30)",119810
BE,"[30,40)",141448
BE,"[40,50)",137708
BE,"[50,60)",156601
BE,"[60,70)",125570
BE,"[70,80)",99066
BE,"[80,121)",61530
BL,"[0,10)",27527
BL,"[10,20)",27931
BL,"[20,30)",30548
BL,"[30,40)",35374
BL,"[40,50)",39007
BL,"[50,60)",45905
BL,"[60,70)",35126
BL,"[70,80)",29003
BL,"[80,121)",19047
BS,"[0,10)",18565
BS,"[10,20)",15404
BS,"[20,30)",23685
BS,"[30,40)",33539
BS,"[40,50)",26859
BS,"[50,60)",27696
BS,"[60,70)",20767
BS,"[70,80)",16111
BS,"[80,121)",13218
CH,"[0,10)",873043
CH,"[10,20)",844155
CH,"[20,30)",1045350
CH,"[30,40)",1229176
CH,"[40,50)",1198325
CH,"[50,60)",1292837
CH,"[60,70)",947959
CH,"[70,80)",721518
CH,"[80,121)",453670
FR,"[0,10)",35588
FR,"[10,20)",35792
FR,"[20,30)",42682
FR,"[30,40)",44690
FR,"[40,50)",45232
FR,"[50,60)",48107
FR,"[60,70)",33114
FR,"[70,80)",23665
FR,"[80,121)",12913
GE,"[0,10)",52912
GE,"[10,20)",53165
GE,"[20,30)",65068
GE,"[30,40)",76120
GE,"[40,50)",76190
GE,"[50,60)",71485
GE,"[60,70)",46829
GE,"[70,80)",36581
GE,"[80,121)",25778
GL,"[0,10)",3943
GL,"[10,20)",3848
GL,"[20,30)",4836
GL,"[30,40)",5559
GL,"[40,50)",5149
GL,"[50,60)",6217
GL,"[60,70)",5138
GL,"[70,80)",3615
GL,"[80,121)",2285
GR,"[0,10)",17435
GR,"[10,20)",17946
GR,"[20,30)",22953
GR,"[30,40)",25696
GR,"[40,50)",26347
GR,"[50,60)",31658
GR,"[60,70)",25798
GR,"[70,80)",19606
GR,"[80,121)",11582
JU,"[0,10)",7259
JU,"[10,20)",8058
JU,"[20,30)",9124
JU,"[30,40)",8640
JU,"[40,50)",9160
JU,"[50,60)",10899
