"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"Age - Total"	8606033
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"0 years"	84500
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"1 year"	87774
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"2 years"	87829
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"3 years"	89144
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"4 years"	88448
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"5 years"	88205
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"6 years"	86352
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"7 years"	87092
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"8 years"	86267
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"9 years"	87432
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"10 years"	86101
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"11 years"	85724
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"12 years"	84001
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"13 years"	83159
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"14 years"	82890
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"15 years"	82856
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"16 years"	81637
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"17 years"	82950
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"18 years"	84207
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"19 years"	90630
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"20 years"	90818
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"21 years"	92668
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"22 years"	96074
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"23 years"	99246
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"24 years"	100697
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"25 years"	103940
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"26 years"	108374
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"27 years"	114777
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"28 years"	117966
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"29 years"	120790
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"30 years"	120951
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"31 years"	123719
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"32 years"	121483
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"33 years"	122975
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"34 years"	122953
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"35 years"	123350
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"36 years"	122415
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"37 years"	124532
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"38 years"	123430
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"39 years"	123368
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"40 years"	119672
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"41 years"	118212
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"42 years"	117660
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"43 years"	116625
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"44 years"	115987
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"45 years"	118170
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"46 years"	118579
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"47 years"	121751
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"48 years"	125213
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"49 years"	126456
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"50 years"	129488
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"51 years"	131768
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"52 years"	132580
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"53 years"	134647
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"54 years"	134334
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"55 years"	135976
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"56 years"	131156
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"57 years"	125675
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"58 years"	120627
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"59 years"	116586
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"60 years"	111966
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"61 years"	106920
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"62 years"	103644
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"63 years"	99887
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"64 years"	94930
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"65 years"	90810
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"66 years"	87083
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"67 years"	86127
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"68 years"	82416
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"69 years"	84176
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"70 years"	82159
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"71 years"	82424
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"72 years"	80621
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"73 years"	79524
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"74 years"	75363
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"75 years"	73162
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"76 years"	69497
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"77 years"	65330
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"78 years"	59792
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"79 years"	53646
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"80 years"	51003
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"81 years"	47790
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"82 years"	44240
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"83 years"	41987
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"84 years"	39493
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"85 years"	36129
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"86 years"	32378
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"87 years"	29277
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"88 years"	25685
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"89 years"	22809
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"90 years"	18845
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"91 years"	15694
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"92 years"	12470
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"93 years"	10071
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"94 years"	7805
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"95 years"	5934
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"96 years"	4249
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"97 years"	2860
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"98 years"	2073
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"99 years or older"	2878
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Sex - Total"	"No indication"	0
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"Age - Total"	4268863
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"0 years"	43282
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"1 year"	44960
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"2 years"	45078
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"3 years"	45625
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"4 years"	45598
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"5 years"	45329
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"6 years"	44392
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"7 years"	44917
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"8 years"	44356
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"9 years"	44603
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"10 years"	44245
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"11 years"	44238
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"12 years"	43099
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"13 years"	42779
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"14 years"	42655
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"15 years"	42371
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"16 years"	41893
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"17 years"	42766
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"18 years"	43493
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"19 years"	47033
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"20 years"	46934
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"21 years"	47882
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"22 years"	49802
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"23 years"	51033
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"24 years"	51576
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"25 years"	53122
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"26 years"	55240
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"27 years"	58087
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"28 years"	59961
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"29 years"	61239
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"30 years"	61111
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"31 years"	62484
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"32 years"	61435
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"33 years"	62022
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"34 years"	61970
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"35 years"	62347
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"36 years"	61937
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"37 years"	62794
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"38 years"	62417
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"39 years"	62332
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"40 years"	60164
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"41 years"	59628
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"42 years"	59324
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"43 years"	58398
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"44 years"	58203
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"45 years"	59588
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"46 years"	59455
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"47 years"	61430
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"48 years"	62831
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"49 years"	63528
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"50 years"	64904
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"51 years"	66106
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"52 years"	66713
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"53 years"	67969
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"54 years"	68192
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"55 years"	68796
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"56 years"	66176
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"57 years"	63450
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"58 years"	60625
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"59 years"	58629
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"60 years"	55947
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"61 years"	53605
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"62 years"	51746
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"63 years"	49948
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"64 years"	47067
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"65 years"	44258
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"66 years"	42058
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"67 years"	41462
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"68 years"	39608
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"69 years"	40458
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"70 years"	39204
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"71 years"	39068
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"72 years"	38232
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"73 years"	37524
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"74 years"	35666
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"75 years"	34150
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"76 years"	32065
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"77 years"	30068
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"78 years"	26897
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"79 years"	23509
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"80 years"	22206
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"81 years"	20569
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"82 years"	18751
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"83 years"	17363
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"84 years"	16089
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"85 years"	14317
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"86 years"	12371
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"87 years"	10943
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"88 years"	9315
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"89 years"	7827
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"90 years"	6198
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"91 years"	4931
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"92 years"	3705
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"93 years"	2892
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"94 years"	2128
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"95 years"	1468
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"96 years"	1049
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"97 years"	648
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"98 years"	455
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"99 years or older"	552
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Man"	"No indication"	0
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"Age - Total"	4337170
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"0 years"	41218
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"1 year"	42814
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"2 years"	42751
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"3 years"	43519
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"4 years"	42850
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"5 years"	42876
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"6 years"	41960
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"7 years"	42175
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"8 years"	41911
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"9 years"	42829
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"10 years"	41856
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"11 years"	41486
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"12 years"	40902
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"13 years"	40380
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"14 years"	40235
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"15 years"	40485
